FullName,GenericName,Dosage
MULTIVIT-MIN/FOLIC AC/AMINO AC 0.9 MG CA,MULTIVIT-MIN/FOLIC AC/AMINO AC, 0.9 MG CA
OCTINOXATE 1.25 % SK,OCTINOXATE, 1.25 % SK
ZINC OXIDE 10.86% PA,ZINC OXIDE, 10.86% PA
TITANIUM DIOXIDE 9 % KC,TITANIUM DIOXIDE, 9 % KC
OXYBENZONE/AVOBENZONE/OCTINOX SPF 15 KA,OXYBENZONE/AVOBENZONE/OCTINOX SPF, 15 KA
EUCALYPTUS/MENTHOL 3-24MG TG,EUCALYPTUS/MENTHOL, 3-24MG TG
TITANIUM DIOXIDE/PADIMATE O 0.2-6.9% SK,TITANIUM DIOXIDE/PADIMATE O, 0.2-6.9% SK
TITANIUM DIOXIDE/PADIMATE O SPF 8 KM,TITANIUM DIOXIDE/PADIMATE O SPF, 8 KM
TITANIUM DIOXIDE/PADIMATE O SPF12 KM,TITANIUM DIOXIDE/PADIMATE O SPF12 KM,
PHENOL 0.5 % AT,PHENOL, 0.5 % AT
SODIUM SELENITE 50 MCG/ML SJ,SODIUM SELENITE, 50 MCG/ML SJ
LACTOBACILLUS ACIDOPHILUS 1B CELL TA,LACTOBACILLUS ACIDOPHILUS, 1B CELL TA
ECHINACEA PURPUREA ROOT EXT 125 MG TC,ECHINACEA PURPUREA ROOT EXT, 125 MG TC
SALICYLIC ACID 0.5 % KM,SALICYLIC ACID, 0.5 % KM
CALCIUM/PHOSPHORUS 500-260MG TA,CALCIUM/PHOSPHORUS, 500-260MG TA
PHENYLEPHRINE/ACETAMINOPHN/CPM 1.25-80-.5 TC,PHENYLEPHRINE/ACETAMINOPHN/CPM, 1.25-80-.5 TC
CASPOFUNGIN ACETATE 50 MG HS,CASPOFUNGIN ACETATE, 50 MG HS
CASPOFUNGIN ACETATE 70 MG HS,CASPOFUNGIN ACETATE, 70 MG HS
OXYBENZONE/OCTINOXATE 3 %-7.5 % OA,OXYBENZONE/OCTINOXATE, 3 %-7.5 % OA
TITANIUM DIOXIDE SPF 8 SK,TITANIUM DIOXIDE SPF, 8 SK
TITANIUM DIOXIDE/OCTINOXATE 7-6% KM,TITANIUM DIOXIDE/OCTINOXATE, 7-6% KM
TITANIUM DIOXIDE/OCTINOXATE 2 %-4 % KM,TITANIUM DIOXIDE/OCTINOXATE, 2 %-4 % KM
ZINC OX/OXYBEN/OCTINOX/OCTIS 2.2-3-5-3% SK,ZINC OX/OXYBEN/OCTINOX/OCTIS, 2.2-3-5-3% SK
CALCIUM 1.46MG/ML SJ,CALCIUM, 1.46MG/ML SJ
CALCIUM 1.67 MG/ML SJ,CALCIUM, 1.67 MG/ML SJ
BENZOCAINE 20 % AA,BENZOCAINE, 20 % AA
PYRITHIONE ZINC 0.5 % SS,PYRITHIONE ZINC, 0.5 % SS
FLUTICASONE PROPIONATE 50 MCG BJ,FLUTICASONE PROPIONATE, 50 MCG BJ
FLUTICASONE PROPIONATE 125 MCG BJ,FLUTICASONE PROPIONATE, 125 MCG BJ
FLUTICASONE PROPIONATE 250 MCG BJ,FLUTICASONE PROPIONATE, 250 MCG BJ
GALANTAMINE HBR 4 MG TA,GALANTAMINE HBR, 4 MG TA
GALANTAMINE HBR 8 MG TA,GALANTAMINE HBR, 8 MG TA
GALANTAMINE HBR 12 MG TA,GALANTAMINE HBR, 12 MG TA
GALANTAMINE HBR 4 MG/ML SJ,GALANTAMINE HBR, 4 MG/ML SJ
MAGNESIUM CHLORIDE HEXAHYDRATE 180 MG/5ML SL,MAGNESIUM CHLORIDE HEXAHYDRATE, 180 MG/5ML SL
SEVELAMER HCL 400 MG TA,SEVELAMER HCL, 400 MG TA
SEVELAMER HCL 800 MG TA,SEVELAMER HCL, 800 MG TA
OXBN/H-SAL/AVOBNZ/O-CRYL/OCTIS 2-12-2-2-5 SK,OXBN/H-SAL/AVOBNZ/O-CRYL/OCTIS, 2-12-2-2-5 SK
BENZOCAINE/PHENOL 5-1.35% SL,BENZOCAINE/PHENOL, 5-1.35% SL
TELMISARTAN/HYDROCHLOROTHIAZID 80-12.5MG TA,TELMISARTAN/HYDROCHLOROTHIAZID, 80-12.5MG TA
CYANOCOBALAMIN/FOLIC AC/VIT B6 125-0.4-50 CA,CYANOCOBALAMIN/FOLIC AC/VIT B6, 125-0.4-50 CA
INSULIN ASPART 100/ML HJ,INSULIN ASPART, 100/ML HJ
TITANIUM DIOXIDE 7.2 % SK,TITANIUM DIOXIDE, 7.2 % SK
OXBN/H-SAL/AVOBNZ/O-CRYL/OCTIS SPF 30 SK,OXBN/H-SAL/AVOBNZ/O-CRYL/OCTIS SPF, 30 SK
CALCIUM CITRATE/MAGNESIUM 200-100 MG TA,CALCIUM CITRATE/MAGNESIUM, 200-100 MG TA
PNV WITH CALCIUM #31/IRON/FA 60 MG-1 MG TA,PNV WITH CALCIUM #31/IRON/FA, 60 MG-1 MG TA
SENNA 80 MG/G EB,SENNA, 80 MG/G EB
INOSI/CHOL BITART/M-VITS-FE  CA,INOSI/CHOL BITART/M-VITS-FE  CA,
OXYBEN/AVOBENZ/OCTINOX/OCTIS 3-2-6-3% SK,OXYBEN/AVOBENZ/OCTINOX/OCTIS, 3-2-6-3% SK
OXYBEN/AVOBENZ/OCTINOX/OCTIS 3-2-4-3% SK,OXYBEN/AVOBENZ/OCTINOX/OCTIS, 3-2-4-3% SK
PREDNISOLONE SODIUM PHOSPHATE 25 MG/5 ML SJ,PREDNISOLONE SODIUM PHOSPHATE, 25 MG/5 ML SJ
TITANIUM DIOXIDE 5.8 % PA,TITANIUM DIOXIDE, 5.8 % PA
CYANOCOBALAMIN/FOLIC ACID/NIA .3-.3-500 CA,CYANOCOBALAMIN/FOLIC ACID/NIA, .3-.3-500 CA
METRONIDAZOLE 750 MG TS,METRONIDAZOLE, 750 MG TS
CALCIUM/MAG/MIN HVP CHELT 125-125 MG TA,CALCIUM/MAG/MIN HVP CHELT, 125-125 MG TA
POTASS/VIT B COMP/FOLIC AC/IOD  TA,POTASS/VIT B COMP/FOLIC AC/IOD  TA,
SALICYLIC ACID 1.5 % KM,SALICYLIC ACID, 1.5 % KM
ACETYLSALICYLIC ACID/CAFFEINE 500MG-65MG TF,ACETYLSALICYLIC ACID/CAFFEINE, 500MG-65MG TF
LIDOCAINE HCL 2 % SA,LIDOCAINE HCL, 2 % SA
VIT B COMPLEX/MAGNESIUM OXIDE 50 MG CA,VIT B COMPLEX/MAGNESIUM OXIDE, 50 MG CA
CALCIUM/MAG/VITAMIN D2/PHOSP  SL,CALCIUM/MAG/VITAMIN D2/PHOSP  SL,
DIPYRIDAMOLE 5 MG/ML HV,DIPYRIDAMOLE, 5 MG/ML HV
FOLIC ACID/MULTIVITAMIN/ZN/SEL 1MG/15ML SL,FOLIC ACID/MULTIVITAMIN/ZN/SEL, 1MG/15ML SL
"CALCIUM CIT/MAG CIT,OX/VIT D2 167MG-33 CA","CALCIUM CIT/MAG CIT,OX/VIT D2", 167MG-33 CA
CALCIUM/VITAMIN D3 100MG-20/G PA,CALCIUM/VITAMIN D3, 100MG-20/G PA
NIACIN (INOSITOL NIACINATE) 500-125 MG CA,NIACIN (INOSITOL NIACINATE), 500-125 MG CA
VIT C/MANG HVP CHELT/K CIT 100-5-40 TA,VIT C/MANG HVP CHELT/K CIT, 100-5-40 TA
TIO2/ZINC/OXBN/H-SAL/OTN/OCTIS  EG,TIO2/ZINC/OXBN/H-SAL/OTN/OCTIS  EG,
OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS  AU,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS  AU,
OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS SPF 30 AU,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS SPF, 30 AU
MA-HUANG 167.5MG CA,MA-HUANG, 167.5MG CA
ETHYL ALCOHOL 68 % SL,ETHYL ALCOHOL, 68 % SL
AVOBENZONE/OCTINOXATE/OCTILSAL 2.9-7.4-2% KM,AVOBENZONE/OCTINOXATE/OCTILSAL, 2.9-7.4-2% KM
BENZOCAINE/RESORCINOL 20 %-3 % KA,BENZOCAINE/RESORCINOL, 20 %-3 % KA
ESOMEPRAZOLE MAGNESIUM 20 MG TE,ESOMEPRAZOLE MAGNESIUM, 20 MG TE
ESOMEPRAZOLE MAGNESIUM 40 MG TE,ESOMEPRAZOLE MAGNESIUM, 40 MG TE
LIDOCAINE 4 % KA,LIDOCAINE, 4 % KA
BENZOCAINE/MENTHOL/CAMPHOR  KA,BENZOCAINE/MENTHOL/CAMPHOR  KA,
LIDOCAINE HCL/CAMPHOR 2 %-0.1 % SK,LIDOCAINE HCL/CAMPHOR, 2 %-0.1 % SK
PAMIDRONATE DISODIUM 30MG/10ML HV,PAMIDRONATE DISODIUM, 30MG/10ML HV
PAMIDRONATE DISODIUM 60 MG/10ML HV,PAMIDRONATE DISODIUM, 60 MG/10ML HV
PAMIDRONATE DISODIUM 90 MG/10ML HV,PAMIDRONATE DISODIUM, 90 MG/10ML HV
TITANIUM DIOXIDE/OCTINOXATE 2 %-2 % KA,TITANIUM DIOXIDE/OCTINOXATE, 2 %-2 % KA
TITANIUM DIOXIDE/ZINC OXIDE 5.3-1% KM,TITANIUM DIOXIDE/ZINC OXIDE, 5.3-1% KM
SUNSCREEN  KA,SUNSCREEN  KA,
POT/CAL/MAG/C/VIT D3/FOLIC/ZN  PE,POT/CAL/MAG/C/VIT D3/FOLIC/ZN  PE,
PRENATAL VIT/IRON FUM/FOLIC AC 35 MG-1 MG TA,PRENATAL VIT/IRON FUM/FOLIC AC, 35 MG-1 MG TA
TIO2/OCTINOXATE/OCTISALATE SPF 15 KM,TIO2/OCTINOXATE/OCTISALATE SPF, 15 KM
"CALCIUM/VIT D3/MAG CIT,OX/ZINC 300MG-100 TA","CALCIUM/VIT D3/MAG CIT,OX/ZINC", 300MG-100 TA
TIO2/OXYBENZONE/OCTINOXATE 1-3-7.5% KM,TIO2/OXYBENZONE/OCTINOXATE, 1-3-7.5% KM
METHYL SALICYLATE/MENTHOL 30 %-8 % KM,METHYL SALICYLATE/MENTHOL, 30 %-8 % KM
OXYBENZONE/OCTINOXATE/OCTILSAL 2-7.5-3% KM,OXYBENZONE/OCTINOXATE/OCTILSAL, 2-7.5-3% KM
DIDANOSINE 125 MG CE,DIDANOSINE, 125 MG CE
DIDANOSINE 200 MG CE,DIDANOSINE, 200 MG CE
DIDANOSINE 250 MG CE,DIDANOSINE, 250 MG CE
DIDANOSINE 400 MG CE,DIDANOSINE, 400 MG CE
CALCIUM CITRATE/VITAMIN D3 200MG-160 CA,CALCIUM CITRATE/VITAMIN D3, 200MG-160 CA
ZINC OXIDE/OXYBENZONE/OCTINOX SPF 15 SK,ZINC OXIDE/OXYBENZONE/OCTINOX SPF, 15 SK
AVOBENZONE/OCTINOXATE 2-7% EG,AVOBENZONE/OCTINOXATE, 2-7% EG
TOLTERODINE TARTRATE 2 MG CC,TOLTERODINE TARTRATE, 2 MG CC
TOLTERODINE TARTRATE 4 MG CC,TOLTERODINE TARTRATE, 4 MG CC
MITOXANTRONE HCL 20 MG/10ML HV,MITOXANTRONE HCL, 20 MG/10ML HV
SOD FLUORIDE/STANNOUS FLUORIDE 0.408-0.07 PP,SOD FLUORIDE/STANNOUS FLUORIDE, 0.408-0.07 PP
SODIUM BICARBONATE 50 MG/ML SL,SODIUM BICARBONATE, 50 MG/ML SL
PYRIDOXINE HCL (VITAMIN B6) 200 MG CA,PYRIDOXINE HCL (VITAMIN B6), 200 MG CA
CALCIUM PANTOTHENATE 500 MG CA,CALCIUM PANTOTHENATE, 500 MG CA
CLARITHROMYCIN 250 MG/5ML PD,CLARITHROMYCIN, 250 MG/5ML PD
OXYBENZONE/OCTINOXATE 3-8.5% KM,OXYBENZONE/OCTINOXATE, 3-8.5% KM
OXYBENZONE/OCTINOXATE 3-8.5% SK,OXYBENZONE/OCTINOXATE, 3-8.5% SK
CARBOXYMETHYLCELLULOSE SODIUM 1 % DI,CARBOXYMETHYLCELLULOSE SODIUM, 1 % DI
UBIDECARENONE 7.5 MG/16G PA,UBIDECARENONE, 7.5 MG/16G PA
SOD FLUOR/PHOS AC/HYDRO FLUOR 1.8-.2-.6% JG,SOD FLUOR/PHOS AC/HYDRO FLUOR, 1.8-.2-.6% JG
DEXTROMETHORPHAN HB/DOXYLAMINE 15-6.25/15 SJ,DEXTROMETHORPHAN HB/DOXYLAMINE, 15-6.25/15 SJ
PSEUDOEPHEDRINE/ACETAMINOPHEN 60MG-650MG TA,PSEUDOEPHEDRINE/ACETAMINOPHEN, 60MG-650MG TA
OXCARBAZEPINE 300 MG/5ML SC,OXCARBAZEPINE, 300 MG/5ML SC
CALCIUM CIT/MAG OXIDE/VIT C/ZN  CA,CALCIUM CIT/MAG OXIDE/VIT C/ZN  CA,
ASCORBIC ACID/E AC SUCC 60 MG-30 CA,ASCORBIC ACID/E AC SUCC, 60 MG-30 CA
ZNOX/OCTINOX/OCTOCRYLENE/ENSZ  KM,ZNOX/OCTINOX/OCTOCRYLENE/ENSZ  KM,
MAG HYDROX/ALUMINUM HYD/SIMETH 400-400-40 SC,MAG HYDROX/ALUMINUM HYD/SIMETH, 400-400-40 SC
FLUOXETINE HCL 40 MG CA,FLUOXETINE HCL, 40 MG CA
NIACIN (INOSITOL NIACINATE) 500 MG TA,NIACIN (INOSITOL NIACINATE), 500 MG TA
MAG HVP CHELT/VIT B6/ZINC 22.5-5-7.5 CA,MAG HVP CHELT/VIT B6/ZINC, 22.5-5-7.5 CA
"VIT A PALM,D3 IN COD LIVER OIL 1185-9.8/5 SL","VIT A PALM,D3 IN COD LIVER OIL", 1185-9.8/5 SL
AMINO AC/POTASS/B COMP/E/FA 0.5 MG CA,AMINO AC/POTASS/B COMP/E/FA, 0.5 MG CA
MAGNESIUM CITRATE/VIT B6/ZINC  CA,MAGNESIUM CITRATE/VIT B6/ZINC  CA,
THIAMINE MONONITRATE (VIT B1) 100 MG CA,THIAMINE MONONITRATE (VIT B1), 100 MG CA
METHIONINE/INOSI/CHOL/VIT B6  CA,METHIONINE/INOSI/CHOL/VIT B6  CA,
ASCORBIC ACID 625 MG CA,ASCORBIC ACID, 625 MG CA
IMATINIB MESYLATE 50 MG CA,IMATINIB MESYLATE, 50 MG CA
IMATINIB MESYLATE 100 MG CA,IMATINIB MESYLATE, 100 MG CA
PYRIDOXINE HCL (VITAMIN B6)/ZN 15 MG-10MG CA,PYRIDOXINE HCL (VITAMIN B6)/ZN, 15 MG-10MG CA
L. ACIDOPHILUS/L. CASEI/BB  CA,L. ACIDOPHILUS/L. CASEI/BB  CA,
VITAMIN A/VITAMIN D2 5000-500 CA,VITAMIN A/VITAMIN D2, 5000-500 CA
"INOSI/CHOLINE BIT/VIT BCOMP,C  TC","INOSI/CHOLINE BIT/VIT BCOMP,C  TC",
OXYBENZONE/PADIMATE O SPF23 EG,OXYBENZONE/PADIMATE O SPF23 EG,
CLARITHROMYCIN 500 MG TI,CLARITHROMYCIN, 500 MG TI
ABACAVIR/LAMIVUDINE/ZIDOVUDINE 150-300 MG TA,ABACAVIR/LAMIVUDINE/ZIDOVUDINE, 150-300 MG TA
"CHOLINE BIT/BCOMP,C/MN/MIN HVP  CA","CHOLINE BIT/BCOMP,C/MN/MIN HVP  CA",
OXYBENZONE/OCTINOXATE SPF 30 KM,OXYBENZONE/OCTINOXATE SPF, 30 KM
ETHYL ALCOHOL 70 % SL,ETHYL ALCOHOL, 70 % SL
VALSARTAN 80 MG TA,VALSARTAN, 80 MG TA
VALSARTAN 160 MG TA,VALSARTAN, 160 MG TA
FOLIC ACID/VIT B COMPLEX AND C 1 MG-100MG TA,FOLIC ACID/VIT B COMPLEX AND C, 1 MG-100MG TA
"FOLLITROPIN ALFA, RECOMBINANT 1200 UNIT HS","FOLLITROPIN ALFA, RECOMBINANT", 1200 UNIT HS
HYDROMORPHONE HCL/PF 100 MG/ML HV,HYDROMORPHONE HCL/PF, 100 MG/ML HV
HOMOSAL/OCTINOX/OCTOCRYL/OCTIS 8-7.5-6-5% SK,HOMOSAL/OCTINOX/OCTOCRYL/OCTIS, 8-7.5-6-5% SK
BIOTIN 500 MCG TA,BIOTIN, 500 MCG TA
CALCIUM CARBONATE 350 MG TA,CALCIUM CARBONATE, 350 MG TA
DIMENHYDRINATE 75 MG TS,DIMENHYDRINATE, 75 MG TS
FOLIC ACID/PYRIDOXAL PHOSPHATE 0.1-1MG/ML SL,FOLIC ACID/PYRIDOXAL PHOSPHATE, 0.1-1MG/ML SL
ZINC GLUCONATE/HRB CMPLX144 2.75MG TA,ZINC GLUCONATE/HRB CMPLX144, 2.75MG TA
CALCIUM/VITAMIN D2 250 MG-100 TC,CALCIUM/VITAMIN D2, 250 MG-100 TC
TENECTEPLASE 50 MG YK,TENECTEPLASE, 50 MG YK
OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS SPF 30 SK,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS SPF, 30 SK
OXYBEN/AVOBENZ/OCTINOX/OCTIS 6-2-7.5-5% EG,OXYBEN/AVOBENZ/OCTINOX/OCTIS, 6-2-7.5-5% EG
OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF 25 AU,OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF, 25 AU
TIO2/OXYBENZONE/OCTINOXATE 1.6-3-7.5% SK,TIO2/OXYBENZONE/OCTINOXATE, 1.6-3-7.5% SK
"FOLIC ACID/MV,IRON,MIN/MIN HVP 0.6 MG TA","FOLIC ACID/MV,IRON,MIN/MIN HVP", 0.6 MG TA
CALCIUM CARB/MAGNESIUM OXID/D3 333 MG-200 TA,CALCIUM CARB/MAGNESIUM OXID/D3, 333 MG-200 TA
CALCIUM CARB/MAGNESIUM OX/ZINC 333-167-20 TA,CALCIUM CARB/MAGNESIUM OX/ZINC, 333-167-20 TA
TITANIUM DIOXIDE 10 % KA,TITANIUM DIOXIDE, 10 % KA
MULTIVIT-MINERALS/FOLIC ACID 0.4 MG TA,MULTIVIT-MINERALS/FOLIC ACID, 0.4 MG TA
AZATHIOPRINE SODIUM 50 MG HS,AZATHIOPRINE SODIUM, 50 MG HS
TRAVOPROST (BENZALKONIUM) 0.004 % SO,TRAVOPROST (BENZALKONIUM), 0.004 % SO
MENTHOL/CLOVE OIL 6%-0.25% AU,MENTHOL/CLOVE OIL, 6%-0.25% AU
ASCORBIC ACID/VIT B12/FOLIC AC 200-.5-1MG CA,ASCORBIC ACID/VIT B12/FOLIC AC, 200-.5-1MG CA
CA CARB/MAG OX/VIT D3/ZINC GLU 350-167MG TA,CA CARB/MAG OX/VIT D3/ZINC GLU, 350-167MG TA
CALCIUM/MAGNESIUM/VITC/D3/ZINC 350-175MG TA,CALCIUM/MAGNESIUM/VITC/D3/ZINC, 350-175MG TA
OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF 25 EH,OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF, 25 EH
OXYBENZONE/AVOBENZONE/OCTINOX SPF 25 EG,OXYBENZONE/AVOBENZONE/OCTINOX SPF, 25 EG
AVOBENZONE/OCTINOXATE/OCTILSAL 3-7.5-2% SK,AVOBENZONE/OCTINOXATE/OCTILSAL, 3-7.5-2% SK
MESNA 100 MG/ML HV,MESNA, 100 MG/ML HV
ISOPROPYL ALCOHOL 63 % SL,ISOPROPYL ALCOHOL, 63 % SL
PRENATAL VIT/IRON FUM/FOLIC AC 30 MG-1 MG TA,PRENATAL VIT/IRON FUM/FOLIC AC, 30 MG-1 MG TA
AMY/ALPH GALACTO/LIP/PROT/LACT  CA,AMY/ALPH GALACTO/LIP/PROT/LACT  CA,
LORATADINE/PSEUDOEPHEDRINE 10MG-240MG TI,LORATADINE/PSEUDOEPHEDRINE, 10MG-240MG TI
TITANIUM DIOXIDE/OCTINOXATE SPF10 PA,TITANIUM DIOXIDE/OCTINOXATE SPF10 PA,
OXYBENZONE/OCTINOXATE 3 %-7.5 % KP,OXYBENZONE/OCTINOXATE, 3 %-7.5 % KP
"VIT BCOMP,C/FOLIC ACID/ZINC 0.8 MG TA","VIT BCOMP,C/FOLIC ACID/ZINC", 0.8 MG TA
PEPSIN/BETAINE HCL 162 UNIT CA,PEPSIN/BETAINE HCL, 162 UNIT CA
BOSENTAN 62.5 MG TA,BOSENTAN, 62.5 MG TA
BOSENTAN 125 MG TA,BOSENTAN, 125 MG TA
OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF10 SK,OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF10 SK,
"MV,IRON,MIN/COPPER HVP CHELATE  TA","MV,IRON,MIN/COPPER HVP CHELATE  TA",
TITANIUM DIOXIDE/ZINC OXIDE 10.55-3% KM,TITANIUM DIOXIDE/ZINC OXIDE, 10.55-3% KM
ZINC/COPPER 50MG-2.5MG CA,ZINC/COPPER, 50MG-2.5MG CA
BENZOCAINE/MENTHOL 15-1.6% JG,BENZOCAINE/MENTHOL, 15-1.6% JG
TITANIUM DIOXIDE/OCTINOXATE SPF 15 KM,TITANIUM DIOXIDE/OCTINOXATE SPF, 15 KM
"DOXORUBICIN, LIPOSOME-CITRATE 50 MG YK","DOXORUBICIN, LIPOSOME-CITRATE", 50 MG YK
BENZALKONIUM CHL/AMMONIUM CHL 1.23-1.23% SL,BENZALKONIUM CHL/AMMONIUM CHL, 1.23-1.23% SL
E/LINOLEIC/GAMOL AC/EVE.PRIM 29.8 U-100 CA,E/LINOLEIC/GAMOL AC/EVE.PRIM, 29.8 U-100 CA
BENZOCAINE 20 % JC,BENZOCAINE, 20 % JC
"INOSITOL/CHOLINE/FOLIC/BCOMP,C 0.2 MG CS","INOSITOL/CHOLINE/FOLIC/BCOMP,C", 0.2 MG CS
CELL/AMY/LIP/PRO/LACT/INVERTAS 800-12200 CA,CELL/AMY/LIP/PRO/LACT/INVERTAS, 800-12200 CA
GLYCERIN 1.2 G QA,GLYCERIN, 1.2 G QA
OXYBEN/HOMOSAL/OCTINOX/OCTIS 6-9-7.5-5% AU,OXYBEN/HOMOSAL/OCTINOX/OCTIS, 6-9-7.5-5% AU
VIT E/LINOLEIC/GAMOLENIC ACID 15-370-50 CA,VIT E/LINOLEIC/GAMOLENIC ACID, 15-370-50 CA
VIT E/LINOLEIC/GAMOLENIC ACID 30-740-100 CA,VIT E/LINOLEIC/GAMOLENIC ACID, 30-740-100 CA
ISOPROPYL ALCOHOL 75 % SA,ISOPROPYL ALCOHOL, 75 % SA
OXYBEN/PDO/OCTINOX/H-QUINONE 4-8-4-4% KA,OXYBEN/PDO/OCTINOX/H-QUINONE, 4-8-4-4% KA
CALCIUM CARB/MAGNESIUM OXID/D3 350MG-100 TA,CALCIUM CARB/MAGNESIUM OXID/D3, 350MG-100 TA
CALCIUM/ASCORBATE CALCIUM 70-600MG CA,CALCIUM/ASCORBATE CALCIUM, 70-600MG CA
"MENINGOC GR C POLYSAC,CONJ-TET 10 MCG/0.5 HQ","MENINGOC GR C POLYSAC,CONJ-TET", 10 MCG/0.5 HQ
MENTHOL/CAMPHOR 6 %-6 % KA,MENTHOL/CAMPHOR, 6 %-6 % KA
BROMPHENIRAMINE/PHENYLEPHRINE 4-10MG/5ML SL,BROMPHENIRAMINE/PHENYLEPHRINE, 4-10MG/5ML SL
BROMPHENIRAM/PHENYLEPHRINE/DM 4-10-20/5 SL,BROMPHENIRAM/PHENYLEPHRINE/DM, 4-10-20/5 SL
VALERIAN 560 MG CA,VALERIAN, 560 MG CA
OXYBEN/AVOBENZ/OCTINOX/OCTIS 4-2-7.5-3% AQ,OXYBEN/AVOBENZ/OCTINOX/OCTIS, 4-2-7.5-3% AQ
AVOBENZONE/OCTINOXATE 3 %-7.5 % EG,AVOBENZONE/OCTINOXATE, 3 %-7.5 % EG
OXBN/H-SAL/OCTNX/O-CRYL/OCTIS  AU,OXBN/H-SAL/OCTNX/O-CRYL/OCTIS  AU,
CAS/PSYLL SEED/FLAX/GOLD SEAL/ 100-200 MG CA,CAS/PSYLL SEED/FLAX/GOLD SEAL/, 100-200 MG CA
VITAMIN A/VITAMIN D2 850-85/G SL,VITAMIN A/VITAMIN D2, 850-85/G SL
FLUTICASONE PROPION/SALMETEROL 50-25 MCG BJ,FLUTICASONE PROPION/SALMETEROL, 50-25 MCG BJ
FLUTICASONE PROPION/SALMETEROL 125-25 MCG BJ,FLUTICASONE PROPION/SALMETEROL, 125-25 MCG BJ
FLUTICASONE PROPION/SALMETEROL 250-25 MCG BJ,FLUTICASONE PROPION/SALMETEROL, 250-25 MCG BJ
"ENZYMES,DIGESTIVE/PANCR ENZYME  CA","ENZYMES,DIGESTIVE/PANCR ENZYME  CA",
ISOPROPYL ALCOHOL 70 % SL,ISOPROPYL ALCOHOL, 70 % SL
CALCIUM CIT/MAGNESIUM/VIT D3 250 MG-200 TA,CALCIUM CIT/MAGNESIUM/VIT D3, 250 MG-200 TA
LIDOCAINE HCL 0.5 % JC,LIDOCAINE HCL, 0.5 % JC
FEVERFEW 10MG/0.5ML SO,FEVERFEW, 10MG/0.5ML SO
LOPERAMIDE HCL/SIMETHICONE 2-125MG TA,LOPERAMIDE HCL/SIMETHICONE, 2-125MG TA
TIO2/OXYBENZONE/OCTINOXATE 5-5-7.5% EG,TIO2/OXYBENZONE/OCTINOXATE, 5-5-7.5% EG
TIO2/OCTINOX/OCTOCRYLENE/ENSZ SPF 30 KA,TIO2/OCTINOX/OCTOCRYLENE/ENSZ SPF, 30 KA
AVOBENZONE/OCTINOXATE SPF 15 KM,AVOBENZONE/OCTINOXATE SPF, 15 KM
ZINC OXIDE/OCTINOXATE/OCTILSAL SPF20 SK,ZINC OXIDE/OCTINOXATE/OCTILSAL SPF20 SK,
TITANIUM DIOXIDE/ZINC OXIDE SPF 15 SL,TITANIUM DIOXIDE/ZINC OXIDE SPF, 15 SL
ECH PURP RT/ECH PURP AERIAL 300-1700MG CA,ECH PURP RT/ECH PURP AERIAL, 300-1700MG CA
TITANIUM DIOXIDE/OCTINOXATE 2.2-7% KM,TITANIUM DIOXIDE/OCTINOXATE, 2.2-7% KM
ASCORBIC ACID/CHROMIUM 500-0.5 MG CA,ASCORBIC ACID/CHROMIUM, 500-0.5 MG CA
PARSLEY/JUNIPER FRT/BUCH/CELER  TA,PARSLEY/JUNIPER FRT/BUCH/CELER  TA,
RIVASTIGMINE TARTRATE 2 MG/ML SJ,RIVASTIGMINE TARTRATE, 2 MG/ML SJ
E AC SUCC/LINOLEIC ACID 13.6-500 CA,E AC SUCC/LINOLEIC ACID, 13.6-500 CA
CAL/MAG/VITAMIN D3/ZN/SILICA  TA,CAL/MAG/VITAMIN D3/ZN/SILICA  TA,
CALCIUM/D3/MAGNESIUM/SILICON 125 MG-100 CA,CALCIUM/D3/MAGNESIUM/SILICON, 125 MG-100 CA
AVOBENZ/OCTINOX/OCTILSAL/ENSZ SPF 15 KM,AVOBENZ/OCTINOX/OCTILSAL/ENSZ SPF, 15 KM
AVOBENZ/OCTINOX/OCTILSAL/ENSZ SPF 15 SK,AVOBENZ/OCTINOX/OCTILSAL/ENSZ SPF, 15 SK
GLIMEPIRIDE 1 MG TA,GLIMEPIRIDE, 1 MG TA
GLIMEPIRIDE 2 MG TA,GLIMEPIRIDE, 2 MG TA
GLIMEPIRIDE 4 MG TA,GLIMEPIRIDE, 4 MG TA
TIO2/ZINC OXIDE/OCTINOXATE SPF 15 SK,TIO2/ZINC OXIDE/OCTINOXATE SPF, 15 SK
PHENYLEPHRINE/ACETAMINOPHN/BPM 80-0.5MG/1 SO,PHENYLEPHRINE/ACETAMINOPHN/BPM, 80-0.5MG/1 SO
