,FullDosage,MedName,Dosage/Concentration,Quantity
146565,TITANIUM DIOXIDE 7.2 % SK,TITANIUM,DIOXIDE 7.2 % SK,0
146566,OXBN/H-SAL/AVOBNZ/O-CRYL/OCTIS SPF 30 SK,OXBN/H-SAL/AVOBNZ/O-CRYL/OCTIS,SPF 30 SK,0
146572,CALCIUM CITRATE/MAGNESIUM 200-100 MG TA,CALCIUM,CITRATE/MAGNESIUM 200-100 MG TA,0
146576,PNV WITH CALCIUM #31/IRON/FA 60 MG-1 MG TA,PNV,WITH CALCIUM #31/IRON/FA 60 MG-1 MG TA,0
146577,SENNA 80 MG/G EB,SENNA,80 MG/G EB,0
146580,INOSI/CHOL BITART/M-VITS-FE  CA,INOSI/CHOL,BITART/M-VITS-FE  CA,0
146585,OXYBEN/AVOBENZ/OCTINOX/OCTIS 3-2-6-3% SK,OXYBEN/AVOBENZ/OCTINOX/OCTIS,3-2-6-3% SK,0
146586,OXYBEN/AVOBENZ/OCTINOX/OCTIS 3-2-4-3% SK,OXYBEN/AVOBENZ/OCTINOX/OCTIS,3-2-4-3% SK,0
146667,PREDNISOLONE SODIUM PHOSPHATE 25 MG/5 ML SJ,PREDNISOLONE,SODIUM PHOSPHATE 25 MG/5 ML SJ,0
146669,TITANIUM DIOXIDE 5.8 % PA,TITANIUM,DIOXIDE 5.8 % PA,0
146671,CYANOCOBALAMIN/FOLIC ACID/NIA .3-.3-500 CA,CYANOCOBALAMIN/FOLIC,ACID/NIA .3-.3-500 CA,0
146756,METRONIDAZOLE 750 MG TS,METRONIDAZOLE,750 MG TS,0
146758,CALCIUM/MAG/MIN HVP CHELT 125-125 MG TA,CALCIUM/MAG/MIN,HVP CHELT 125-125 MG TA,0
146763,POTASS/VIT B COMP/FOLIC AC/IOD  TA,POTASS/VIT,B COMP/FOLIC AC/IOD  TA,0
146764,SALICYLIC ACID 1.5 % KM,SALICYLIC,ACID 1.5 % KM,0
146766,ACETYLSALICYLIC ACID/CAFFEINE 500MG-65MG TF,ACETYLSALICYLIC,ACID/CAFFEINE 500MG-65MG TF,0
146775,LIDOCAINE HCL 2 % SA,LIDOCAINE,HCL 2 % SA,0
146782,VIT B COMPLEX/MAGNESIUM OXIDE 50 MG CA,VIT,B COMPLEX/MAGNESIUM OXIDE 50 MG CA,0
146785,CALCIUM/MAG/VITAMIN D2/PHOSP  SL,CALCIUM/MAG/VITAMIN,D2/PHOSP  SL,0
146789,DIPYRIDAMOLE 5 MG/ML HV,DIPYRIDAMOLE,5 MG/ML HV,0
146790,FOLIC ACID/MULTIVITAMIN/ZN/SEL 1MG/15ML SL,FOLIC,ACID/MULTIVITAMIN/ZN/SEL 1MG/15ML SL,0
146792,"CALCIUM CIT/MAG CIT,OX/VIT D2 167MG-33 CA",CALCIUM,"CIT/MAG CIT,OX/VIT D2 167MG-33 CA",0
146793,CALCIUM/VITAMIN D3 100MG-20/G PA,CALCIUM/VITAMIN,D3 100MG-20/G PA,0
146794,NIACIN (INOSITOL NIACINATE) 500-125 MG CA,NIACIN,(INOSITOL NIACINATE) 500-125 MG CA,0
146797,VIT C/MANG HVP CHELT/K CIT 100-5-40 TA,VIT,C/MANG HVP CHELT/K CIT 100-5-40 TA,0
146908,TIO2/ZINC/OXBN/H-SAL/OTN/OCTIS  EG,TIO2/ZINC/OXBN/H-SAL/OTN/OCTIS, EG,0
146909,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS  AU,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS, AU,0
146910,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS SPF 30 AU,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS,SPF 30 AU,0
146911,MA-HUANG 167.5MG CA,MA-HUANG,167.5MG CA,0
146912,ETHYL ALCOHOL 68 % SL,ETHYL,ALCOHOL 68 % SL,0
146915,AVOBENZONE/OCTINOXATE/OCTILSAL 2.9-7.4-2% KM,AVOBENZONE/OCTINOXATE/OCTILSAL,2.9-7.4-2% KM,0
146919,BENZOCAINE/RESORCINOL 20 %-3 % KA,BENZOCAINE/RESORCINOL,20 %-3 % KA,0
147031,ESOMEPRAZOLE MAGNESIUM 20 MG TE,ESOMEPRAZOLE,MAGNESIUM 20 MG TE,0
147035,ESOMEPRAZOLE MAGNESIUM 40 MG TE,ESOMEPRAZOLE,MAGNESIUM 40 MG TE,0
147044,LIDOCAINE 4 % KA,LIDOCAINE,4 % KA,0
147049,BENZOCAINE/MENTHOL/CAMPHOR  KA,BENZOCAINE/MENTHOL/CAMPHOR, KA,0
147050,LIDOCAINE HCL/CAMPHOR 2 %-0.1 % SK,LIDOCAINE,HCL/CAMPHOR 2 %-0.1 % SK,0
147051,PAMIDRONATE DISODIUM 30MG/10ML HV,PAMIDRONATE,DISODIUM 30MG/10ML HV,0
147058,PAMIDRONATE DISODIUM 60 MG/10ML HV,PAMIDRONATE,DISODIUM 60 MG/10ML HV,0
147065,PAMIDRONATE DISODIUM 90 MG/10ML HV,PAMIDRONATE,DISODIUM 90 MG/10ML HV,0
147072,TITANIUM DIOXIDE/OCTINOXATE 2 %-2 % KA,TITANIUM,DIOXIDE/OCTINOXATE 2 %-2 % KA,0
147073,TITANIUM DIOXIDE/ZINC OXIDE 5.3-1% KM,TITANIUM,DIOXIDE/ZINC OXIDE 5.3-1% KM,0
147075,SUNSCREEN  KA,SUNSCREEN, KA,0
147083,POT/CAL/MAG/C/VIT D3/FOLIC/ZN  PE,POT/CAL/MAG/C/VIT,D3/FOLIC/ZN  PE,0
147087,PRENATAL VIT/IRON FUM/FOLIC AC 35 MG-1 MG TA,PRENATAL,VIT/IRON FUM/FOLIC AC 35 MG-1 MG TA,0
147088,TIO2/OCTINOXATE/OCTISALATE SPF 15 KM,TIO2/OCTINOXATE/OCTISALATE,SPF 15 KM,0
147093,"CALCIUM/VIT D3/MAG CIT,OX/ZINC 300MG-100 TA",CALCIUM/VIT,"D3/MAG CIT,OX/ZINC 300MG-100 TA",0
147094,TIO2/OXYBENZONE/OCTINOXATE 1-3-7.5% KM,TIO2/OXYBENZONE/OCTINOXATE,1-3-7.5% KM,0
147095,METHYL SALICYLATE/MENTHOL 30 %-8 % KM,METHYL,SALICYLATE/MENTHOL 30 %-8 % KM,0
147096,OXYBENZONE/OCTINOXATE/OCTILSAL 2-7.5-3% KM,OXYBENZONE/OCTINOXATE/OCTILSAL,2-7.5-3% KM,0
147101,DIDANOSINE 125 MG CE,DIDANOSINE,125 MG CE,0
147102,DIDANOSINE 200 MG CE,DIDANOSINE,200 MG CE,0
147103,DIDANOSINE 250 MG CE,DIDANOSINE,250 MG CE,0
147104,DIDANOSINE 400 MG CE,DIDANOSINE,400 MG CE,0
147106,CALCIUM CITRATE/VITAMIN D3 200MG-160 CA,CALCIUM,CITRATE/VITAMIN D3 200MG-160 CA,0
147108,ZINC OXIDE/OXYBENZONE/OCTINOX SPF 15 SK,ZINC,OXIDE/OXYBENZONE/OCTINOX SPF 15 SK,0
147109,AVOBENZONE/OCTINOXATE 2-7% EG,AVOBENZONE/OCTINOXATE,2-7% EG,0
147112,TOLTERODINE TARTRATE 2 MG CC,TOLTERODINE,TARTRATE 2 MG CC,0
147115,TOLTERODINE TARTRATE 4 MG CC,TOLTERODINE,TARTRATE 4 MG CC,0
147118,MITOXANTRONE HCL 20 MG/10ML HV,MITOXANTRONE,HCL 20 MG/10ML HV,0
147123,SOD FLUORIDE/STANNOUS FLUORIDE 0.408-0.07 PP,SOD,FLUORIDE/STANNOUS FLUORIDE 0.408-0.07 PP,0
147124,SODIUM BICARBONATE 50 MG/ML SL,SODIUM,BICARBONATE 50 MG/ML SL,0
147127,PYRIDOXINE HCL (VITAMIN B6) 200 MG CA,PYRIDOXINE,HCL (VITAMIN B6) 200 MG CA,0
147128,CALCIUM PANTOTHENATE 500 MG CA,CALCIUM,PANTOTHENATE 500 MG CA,0
147179,CLARITHROMYCIN 250 MG/5ML PD,CLARITHROMYCIN,250 MG/5ML PD,0
147271,OXYBENZONE/OCTINOXATE 3-8.5% KM,OXYBENZONE/OCTINOXATE,3-8.5% KM,0
147272,OXYBENZONE/OCTINOXATE 3-8.5% SK,OXYBENZONE/OCTINOXATE,3-8.5% SK,0
147273,CARBOXYMETHYLCELLULOSE SODIUM 1 % DI,CARBOXYMETHYLCELLULOSE,SODIUM 1 % DI,0
147280,UBIDECARENONE 7.5 MG/16G PA,UBIDECARENONE,7.5 MG/16G PA,0
147282,SOD FLUOR/PHOS AC/HYDRO FLUOR 1.8-.2-.6% JG,SOD,FLUOR/PHOS AC/HYDRO FLUOR 1.8-.2-.6% JG,0
147283,DEXTROMETHORPHAN HB/DOXYLAMINE 15-6.25/15 SJ,DEXTROMETHORPHAN,HB/DOXYLAMINE 15-6.25/15 SJ,0
147284,PSEUDOEPHEDRINE/ACETAMINOPHEN 60MG-650MG TA,PSEUDOEPHEDRINE/ACETAMINOPHEN,60MG-650MG TA,0
147286,OXCARBAZEPINE 300 MG/5ML SC,OXCARBAZEPINE,300 MG/5ML SC,0
147289,CALCIUM CIT/MAG OXIDE/VIT C/ZN  CA,CALCIUM,CIT/MAG OXIDE/VIT C/ZN  CA,0
147290,ASCORBIC ACID/E AC SUCC 60 MG-30 CA,ASCORBIC,ACID/E AC SUCC 60 MG-30 CA,0
147333,ZNOX/OCTINOX/OCTOCRYLENE/ENSZ  KM,ZNOX/OCTINOX/OCTOCRYLENE/ENSZ, KM,0
147335,MAG HYDROX/ALUMINUM HYD/SIMETH 400-400-40 SC,MAG,HYDROX/ALUMINUM HYD/SIMETH 400-400-40 SC,0
147338,FLUOXETINE HCL 40 MG CA,FLUOXETINE,HCL 40 MG CA,0
147342,NIACIN (INOSITOL NIACINATE) 500 MG TA,NIACIN,(INOSITOL NIACINATE) 500 MG TA,0
147343,MAG HVP CHELT/VIT B6/ZINC 22.5-5-7.5 CA,MAG,HVP CHELT/VIT B6/ZINC 22.5-5-7.5 CA,0
147345,"VIT A PALM,D3 IN COD LIVER OIL 1185-9.8/5 SL",VIT,"A PALM,D3 IN COD LIVER OIL 1185-9.8/5 SL",0
147347,AMINO AC/POTASS/B COMP/E/FA 0.5 MG CA,AMINO,AC/POTASS/B COMP/E/FA 0.5 MG CA,0
147348,MAGNESIUM CITRATE/VIT B6/ZINC  CA,MAGNESIUM,CITRATE/VIT B6/ZINC  CA,0
147351,THIAMINE MONONITRATE (VIT B1) 100 MG CA,THIAMINE,MONONITRATE (VIT B1) 100 MG CA,0
147352,METHIONINE/INOSI/CHOL/VIT B6  CA,METHIONINE/INOSI/CHOL/VIT,B6  CA,0
147353,ASCORBIC ACID 625 MG CA,ASCORBIC,ACID 625 MG CA,0
147354,IMATINIB MESYLATE 50 MG CA,IMATINIB,MESYLATE 50 MG CA,0
147355,IMATINIB MESYLATE 100 MG CA,IMATINIB,MESYLATE 100 MG CA,0
147421,PYRIDOXINE HCL (VITAMIN B6)/ZN 15 MG-10MG CA,PYRIDOXINE,HCL (VITAMIN B6)/ZN 15 MG-10MG CA,0
147423,L. ACIDOPHILUS/L. CASEI/BB  CA,L.,ACIDOPHILUS/L. CASEI/BB  CA,0
147426,VITAMIN A/VITAMIN D2 5000-500 CA,VITAMIN,A/VITAMIN D2 5000-500 CA,0
147428,"INOSI/CHOLINE BIT/VIT BCOMP,C  TC",INOSI/CHOLINE,"BIT/VIT BCOMP,C  TC",0
147434,OXYBENZONE/PADIMATE O SPF23 EG,OXYBENZONE/PADIMATE,O SPF23 EG,0
147435,CLARITHROMYCIN 500 MG TI,CLARITHROMYCIN,500 MG TI,0
147489,ABACAVIR/LAMIVUDINE/ZIDOVUDINE 150-300 MG TA,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,150-300 MG TA,0
147490,"CHOLINE BIT/BCOMP,C/MN/MIN HVP  CA",CHOLINE,"BIT/BCOMP,C/MN/MIN HVP  CA",0
147493,OXYBENZONE/OCTINOXATE SPF 30 KM,OXYBENZONE/OCTINOXATE,SPF 30 KM,0
147504,ETHYL ALCOHOL 70 % SL,ETHYL,ALCOHOL 70 % SL,0
147505,VALSARTAN 80 MG TA,VALSARTAN,80 MG TA,0
147511,VALSARTAN 160 MG TA,VALSARTAN,160 MG TA,0
147518,FOLIC ACID/VIT B COMPLEX AND C 1 MG-100MG TA,FOLIC,ACID/VIT B COMPLEX AND C 1 MG-100MG TA,0
147519,"FOLLITROPIN ALFA, RECOMBINANT 1200 UNIT HS",FOLLITROPIN,"ALFA, RECOMBINANT 1200 UNIT HS",0
147529,HYDROMORPHONE HCL/PF 100 MG/ML HV,HYDROMORPHONE,HCL/PF 100 MG/ML HV,0
147561,HOMOSAL/OCTINOX/OCTOCRYL/OCTIS 8-7.5-6-5% SK,HOMOSAL/OCTINOX/OCTOCRYL/OCTIS,8-7.5-6-5% SK,0
147564,BIOTIN 500 MCG TA,BIOTIN,500 MCG TA,0
147565,CALCIUM CARBONATE 350 MG TA,CALCIUM,CARBONATE 350 MG TA,0
147567,DIMENHYDRINATE 75 MG TS,DIMENHYDRINATE,75 MG TS,0
147577,FOLIC ACID/PYRIDOXAL PHOSPHATE 0.1-1MG/ML SL,FOLIC,ACID/PYRIDOXAL PHOSPHATE 0.1-1MG/ML SL,0
147578,ZINC GLUCONATE/HRB CMPLX144 2.75MG TA,ZINC,GLUCONATE/HRB CMPLX144 2.75MG TA,0
147580,CALCIUM/VITAMIN D2 250 MG-100 TC,CALCIUM/VITAMIN,D2 250 MG-100 TC,0
147581,TENECTEPLASE 50 MG YK,TENECTEPLASE,50 MG YK,0
147582,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS SPF 30 SK,OXBN/H-SAL/AVOBENZ/OCTNX/OCTIS,SPF 30 SK,0
147587,OXYBEN/AVOBENZ/OCTINOX/OCTIS 6-2-7.5-5% EG,OXYBEN/AVOBENZ/OCTINOX/OCTIS,6-2-7.5-5% EG,0
147717,OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF 25 AU,OXYBEN/AVOBENZ/OCTINOX/OCTIS,SPF 25 AU,0
147718,TIO2/OXYBENZONE/OCTINOXATE 1.6-3-7.5% SK,TIO2/OXYBENZONE/OCTINOXATE,1.6-3-7.5% SK,0
147751,"FOLIC ACID/MV,IRON,MIN/MIN HVP 0.6 MG TA",FOLIC,"ACID/MV,IRON,MIN/MIN HVP 0.6 MG TA",0
147761,CALCIUM CARB/MAGNESIUM OXID/D3 333 MG-200 TA,CALCIUM,CARB/MAGNESIUM OXID/D3 333 MG-200 TA,0
147762,CALCIUM CARB/MAGNESIUM OX/ZINC 333-167-20 TA,CALCIUM,CARB/MAGNESIUM OX/ZINC 333-167-20 TA,0
147771,TITANIUM DIOXIDE 10 % KA,TITANIUM,DIOXIDE 10 % KA,0
147774,MULTIVIT-MINERALS/FOLIC ACID 0.4 MG TA,MULTIVIT-MINERALS/FOLIC,ACID 0.4 MG TA,0
147777,AZATHIOPRINE SODIUM 50 MG HS,AZATHIOPRINE,SODIUM 50 MG HS,0
147778,TRAVOPROST (BENZALKONIUM) 0.004 % SO,TRAVOPROST,(BENZALKONIUM) 0.004 % SO,0
147781,MENTHOL/CLOVE OIL 6%-0.25% AU,MENTHOL/CLOVE,OIL 6%-0.25% AU,0
147789,ASCORBIC ACID/VIT B12/FOLIC AC 200-.5-1MG CA,ASCORBIC,ACID/VIT B12/FOLIC AC 200-.5-1MG CA,0
147796,CA CARB/MAG OX/VIT D3/ZINC GLU 350-167MG TA,CA,CARB/MAG OX/VIT D3/ZINC GLU 350-167MG TA,0
147798,CALCIUM/MAGNESIUM/VITC/D3/ZINC 350-175MG TA,CALCIUM/MAGNESIUM/VITC/D3/ZINC,350-175MG TA,0
147799,OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF 25 EH,OXYBEN/AVOBENZ/OCTINOX/OCTIS,SPF 25 EH,0
147800,OXYBENZONE/AVOBENZONE/OCTINOX SPF 25 EG,OXYBENZONE/AVOBENZONE/OCTINOX,SPF 25 EG,0
147802,AVOBENZONE/OCTINOXATE/OCTILSAL 3-7.5-2% SK,AVOBENZONE/OCTINOXATE/OCTILSAL,3-7.5-2% SK,0
147807,MESNA 100 MG/ML HV,MESNA,100 MG/ML HV,0
147808,ISOPROPYL ALCOHOL 63 % SL,ISOPROPYL,ALCOHOL 63 % SL,0
147810,PRENATAL VIT/IRON FUM/FOLIC AC 30 MG-1 MG TA,PRENATAL,VIT/IRON FUM/FOLIC AC 30 MG-1 MG TA,0
147812,AMY/ALPH GALACTO/LIP/PROT/LACT  CA,AMY/ALPH,GALACTO/LIP/PROT/LACT  CA,0
147813,LORATADINE/PSEUDOEPHEDRINE 10MG-240MG TI,LORATADINE/PSEUDOEPHEDRINE,10MG-240MG TI,0
147820,TITANIUM DIOXIDE/OCTINOXATE SPF10 PA,TITANIUM,DIOXIDE/OCTINOXATE SPF10 PA,0
147821,OXYBENZONE/OCTINOXATE 3 %-7.5 % KP,OXYBENZONE/OCTINOXATE,3 %-7.5 % KP,0
147823,"VIT BCOMP,C/FOLIC ACID/ZINC 0.8 MG TA",VIT,"BCOMP,C/FOLIC ACID/ZINC 0.8 MG TA",0
147828,PEPSIN/BETAINE HCL 162 UNIT CA,PEPSIN/BETAINE,HCL 162 UNIT CA,0
147829,BOSENTAN 62.5 MG TA,BOSENTAN,62.5 MG TA,0
147831,BOSENTAN 125 MG TA,BOSENTAN,125 MG TA,0
147833,OXYBEN/AVOBENZ/OCTINOX/OCTIS SPF10 SK,OXYBEN/AVOBENZ/OCTINOX/OCTIS,SPF10 SK,0
147835,"MV,IRON,MIN/COPPER HVP CHELATE  TA","MV,IRON,MIN/COPPER",HVP CHELATE  TA,0
147848,TITANIUM DIOXIDE/ZINC OXIDE 10.55-3% KM,TITANIUM,DIOXIDE/ZINC OXIDE 10.55-3% KM,0
147853,ZINC/COPPER 50MG-2.5MG CA,ZINC/COPPER,50MG-2.5MG CA,0
147854,BENZOCAINE/MENTHOL 15-1.6% JG,BENZOCAINE/MENTHOL,15-1.6% JG,0
147856,TITANIUM DIOXIDE/OCTINOXATE SPF 15 KM,TITANIUM,DIOXIDE/OCTINOXATE SPF 15 KM,0
147857,"DOXORUBICIN, LIPOSOME-CITRATE 50 MG YK","DOXORUBICIN,",LIPOSOME-CITRATE 50 MG YK,0
147860,BENZALKONIUM CHL/AMMONIUM CHL 1.23-1.23% SL,BENZALKONIUM,CHL/AMMONIUM CHL 1.23-1.23% SL,0
147861,E/LINOLEIC/GAMOL AC/EVE.PRIM 29.8 U-100 CA,E/LINOLEIC/GAMOL,AC/EVE.PRIM 29.8 U-100 CA,0
147862,BENZOCAINE 20 % JC,BENZOCAINE,20 % JC,0
147863,"INOSITOL/CHOLINE/FOLIC/BCOMP,C 0.2 MG CS","INOSITOL/CHOLINE/FOLIC/BCOMP,C",0.2 MG CS,0
147864,CELL/AMY/LIP/PRO/LACT/INVERTAS 800-12200 CA,CELL/AMY/LIP/PRO/LACT/INVERTAS,800-12200 CA,0
147865,GLYCERIN 1.2 G QA,GLYCERIN,1.2 G QA,0
147868,OXYBEN/HOMOSAL/OCTINOX/OCTIS 6-9-7.5-5% AU,OXYBEN/HOMOSAL/OCTINOX/OCTIS,6-9-7.5-5% AU,0
147872,VIT E/LINOLEIC/GAMOLENIC ACID 15-370-50 CA,VIT,E/LINOLEIC/GAMOLENIC ACID 15-370-50 CA,0
147873,VIT E/LINOLEIC/GAMOLENIC ACID 30-740-100 CA,VIT,E/LINOLEIC/GAMOLENIC ACID 30-740-100 CA,0
147874,ISOPROPYL ALCOHOL 75 % SA,ISOPROPYL,ALCOHOL 75 % SA,0
147875,OXYBEN/PDO/OCTINOX/H-QUINONE 4-8-4-4% KA,OXYBEN/PDO/OCTINOX/H-QUINONE,4-8-4-4% KA,0
147879,CALCIUM CARB/MAGNESIUM OXID/D3 350MG-100 TA,CALCIUM,CARB/MAGNESIUM OXID/D3 350MG-100 TA,0
147880,CALCIUM/ASCORBATE CALCIUM 70-600MG CA,CALCIUM/ASCORBATE,CALCIUM 70-600MG CA,0
147881,"MENINGOC GR C POLYSAC,CONJ-TET 10 MCG/0.5 HQ",MENINGOC,"GR C POLYSAC,CONJ-TET 10 MCG/0.5 HQ",0
147889,MENTHOL/CAMPHOR 6 %-6 % KA,MENTHOL/CAMPHOR,6 %-6 % KA,0
147891,BROMPHENIRAMINE/PHENYLEPHRINE 4-10MG/5ML SL,BROMPHENIRAMINE/PHENYLEPHRINE,4-10MG/5ML SL,0
147892,BROMPHENIRAM/PHENYLEPHRINE/DM 4-10-20/5 SL,BROMPHENIRAM/PHENYLEPHRINE/DM,4-10-20/5 SL,0
147907,VALERIAN 560 MG CA,VALERIAN,560 MG CA,0
147908,OXYBEN/AVOBENZ/OCTINOX/OCTIS 4-2-7.5-3% AQ,OXYBEN/AVOBENZ/OCTINOX/OCTIS,4-2-7.5-3% AQ,0
147910,AVOBENZONE/OCTINOXATE 3 %-7.5 % EG,AVOBENZONE/OCTINOXATE,3 %-7.5 % EG,0
147911,OXBN/H-SAL/OCTNX/O-CRYL/OCTIS  AU,OXBN/H-SAL/OCTNX/O-CRYL/OCTIS, AU,0
147913,CAS/PSYLL SEED/FLAX/GOLD SEAL/ 100-200 MG CA,CAS/PSYLL,SEED/FLAX/GOLD SEAL/ 100-200 MG CA,0
147928,VITAMIN A/VITAMIN D2 850-85/G SL,VITAMIN,A/VITAMIN D2 850-85/G SL,0
147929,FLUTICASONE PROPION/SALMETEROL 50-25 MCG BJ,FLUTICASONE,PROPION/SALMETEROL 50-25 MCG BJ,0
147930,FLUTICASONE PROPION/SALMETEROL 125-25 MCG BJ,FLUTICASONE,PROPION/SALMETEROL 125-25 MCG BJ,0
147934,FLUTICASONE PROPION/SALMETEROL 250-25 MCG BJ,FLUTICASONE,PROPION/SALMETEROL 250-25 MCG BJ,0
147946,"ENZYMES,DIGESTIVE/PANCR ENZYME  CA","ENZYMES,DIGESTIVE/PANCR",ENZYME  CA,0
147949,ISOPROPYL ALCOHOL 70 % SL,ISOPROPYL,ALCOHOL 70 % SL,0
148038,CALCIUM CIT/MAGNESIUM/VIT D3 250 MG-200 TA,CALCIUM,CIT/MAGNESIUM/VIT D3 250 MG-200 TA,0
148039,LIDOCAINE HCL 0.5 % JC,LIDOCAINE,HCL 0.5 % JC,0
148040,FEVERFEW 10MG/0.5ML SO,FEVERFEW,10MG/0.5ML SO,0
148041,LOPERAMIDE HCL/SIMETHICONE 2-125MG TA,LOPERAMIDE,HCL/SIMETHICONE 2-125MG TA,0
148042,TIO2/OXYBENZONE/OCTINOXATE 5-5-7.5% EG,TIO2/OXYBENZONE/OCTINOXATE,5-5-7.5% EG,0
148043,TIO2/OCTINOX/OCTOCRYLENE/ENSZ SPF 30 KA,TIO2/OCTINOX/OCTOCRYLENE/ENSZ,SPF 30 KA,0
148045,AVOBENZONE/OCTINOXATE SPF 15 KM,AVOBENZONE/OCTINOXATE,SPF 15 KM,0
148046,ZINC OXIDE/OCTINOXATE/OCTILSAL SPF20 SK,ZINC,OXIDE/OCTINOXATE/OCTILSAL SPF20 SK,0
148261,TITANIUM DIOXIDE/ZINC OXIDE SPF 15 SL,TITANIUM,DIOXIDE/ZINC OXIDE SPF 15 SL,0
148262,ECH PURP RT/ECH PURP AERIAL 300-1700MG CA,ECH,PURP RT/ECH PURP AERIAL 300-1700MG CA,0
148263,TITANIUM DIOXIDE/OCTINOXATE 2.2-7% KM,TITANIUM,DIOXIDE/OCTINOXATE 2.2-7% KM,0
148345,ASCORBIC ACID/CHROMIUM 500-0.5 MG CA,ASCORBIC,ACID/CHROMIUM 500-0.5 MG CA,0
148346,PARSLEY/JUNIPER FRT/BUCH/CELER  TA,PARSLEY/JUNIPER,FRT/BUCH/CELER  TA,0
148347,RIVASTIGMINE TARTRATE 2 MG/ML SJ,RIVASTIGMINE,TARTRATE 2 MG/ML SJ,0
148350,E AC SUCC/LINOLEIC ACID 13.6-500 CA,E,AC SUCC/LINOLEIC ACID 13.6-500 CA,0
148365,CAL/MAG/VITAMIN D3/ZN/SILICA  TA,CAL/MAG/VITAMIN,D3/ZN/SILICA  TA,0
148366,CALCIUM/D3/MAGNESIUM/SILICON 125 MG-100 CA,CALCIUM/D3/MAGNESIUM/SILICON,125 MG-100 CA,0
148372,AVOBENZ/OCTINOX/OCTILSAL/ENSZ SPF 15 KM,AVOBENZ/OCTINOX/OCTILSAL/ENSZ,SPF 15 KM,0
148373,AVOBENZ/OCTINOX/OCTILSAL/ENSZ SPF 15 SK,AVOBENZ/OCTINOX/OCTILSAL/ENSZ,SPF 15 SK,0
148374,GLIMEPIRIDE 1 MG TA,GLIMEPIRIDE,1 MG TA,0
148375,GLIMEPIRIDE 2 MG TA,GLIMEPIRIDE,2 MG TA,0
148376,GLIMEPIRIDE 4 MG TA,GLIMEPIRIDE,4 MG TA,0
148378,TIO2/ZINC OXIDE/OCTINOXATE SPF 15 SK,TIO2/ZINC,OXIDE/OCTINOXATE SPF 15 SK,0
148405,PHENYLEPHRINE/ACETAMINOPHN/BPM 80-0.5MG/1 SO,PHENYLEPHRINE/ACETAMINOPHN/BPM,80-0.5MG/1 SO,0
148411,VIT A PALM/D2/HALIBUT LIV OIL 1511-10MCG CA,VIT,A PALM/D2/HALIBUT LIV OIL 1511-10MCG CA,0
148413,"VIT A PALM,D3 IN COD LIVER OIL 1250-100 CA",VIT,"A PALM,D3 IN COD LIVER OIL 1250-100 CA",0
148415,UBIDECAR/MG CIT/E/FOLIC/B6-B12  CA,UBIDECAR/MG,CIT/E/FOLIC/B6-B12  CA,0
148417,SULFUR 8 % KA,SULFUR,8 % KA,0
148418,OXYBENZONE/AVOBENZONE/OCTINOX 4-2-8.5% SK,OXYBENZONE/AVOBENZONE/OCTINOX,4-2-8.5% SK,0
148419,TITANIUM DIOXIDE/OCTINOXATE SPF12 SK,TITANIUM,DIOXIDE/OCTINOXATE SPF12 SK,0
148421,TIZANIDINE HCL 2 MG TA,TIZANIDINE,HCL 2 MG TA,0
148422,ALENDRONATE SODIUM 70 MG TA,ALENDRONATE,SODIUM 70 MG TA,0
148424,ETIDRONATE DISODIUM 400 MG TA,ETIDRONATE,DISODIUM 400 MG TA,0
148425,ASCORBATE CALCIUM/ZINC 50-5MG TL,ASCORBATE,CALCIUM/ZINC 50-5MG TL,0
148431,CYANOCOBALAMIN/FOLIC AC/VIT B6 0.1-0.4-25 TA,CYANOCOBALAMIN/FOLIC,AC/VIT B6 0.1-0.4-25 TA,0
148432,SENNOSIDES/ALOE 17-25MG CA,SENNOSIDES/ALOE,17-25MG CA,0
148433,TESTOSTERONE 25MG(1%) JP,TESTOSTERONE,25MG(1%) JP,0
148437,TESTOSTERONE 50 MG (1%) JP,TESTOSTERONE,50 MG (1%) JP,0
148451,TITANIUM DIOXIDE/ZINC OXIDE SPF20 SL,TITANIUM,DIOXIDE/ZINC OXIDE SPF20 SL,0
148452,TITANIUM DIOXIDE/OCTINOXATE SPF10 SL,TITANIUM,DIOXIDE/OCTINOXATE SPF10 SL,0
148453,TITANIUM DIOXIDE 2.7 % SK,TITANIUM,DIOXIDE 2.7 % SK,0
148458,OXYBENZONE/AVOBENZONE/OCTINOX SPF4 AU,OXYBENZONE/AVOBENZONE/OCTINOX,SPF4 AU,0
148459,OXBN/AVOBNZ/OCTNX/O-CRYL/OCTIS SPF 30 SK,OXBN/AVOBNZ/OCTNX/O-CRYL/OCTIS,SPF 30 SK,0
148460,TITANIUM DIOXIDE SPF18 SK,TITANIUM,DIOXIDE SPF18 SK,0
148462,OXYBENZONE/PADIMATE O SPF18 EH,OXYBENZONE/PADIMATE,O SPF18 EH,0
